regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Sudeste;SP;2020-02-26;1;0;1;0
Sudeste;SP;2020-02-27;1;0;0;0
Sudeste;SP;2020-02-28;1;0;0;0
Sudeste;SP;2020-02-29;2;0;1;0
Sudeste;SP;2020-03-01;2;0;0;0
Sudeste;SP;2020-03-02;2;0;0;0
Sudeste;SP;2020-03-03;2;0;0;0
Sudeste;SP;2020-03-04;3;0;1;0
Sudeste;SP;2020-03-05;6;0;3;0
Sudeste;SP;2020-03-06;10;0;4;0
Sudeste;SP;2020-03-07;13;0;3;0
Sudeste;SP;2020-03-08;16;0;3;0
Sudeste;SP;2020-03-09;16;0;0;0
Sudeste;SP;2020-03-10;19;0;3;0
Sudeste;SP;2020-03-11;30;0;11;0
Sudeste;SP;2020-03-12;42;0;12;0
Sudeste;SP;2020-03-13;56;0;14;0
Sudeste;SP;2020-03-14;65;0;9;0
Sudeste;SP;2020-03-15;136;0;71;0
Sudeste;SP;2020-03-16;152;0;16;0
Sudeste;SP;2020-03-17;164;1;12;1
Sudeste;SP;2020-03-18;240;4;76;3
Sudeste;SP;2020-03-19;286;4;46;0
Sudeste;SP;2020-03-20;396;9;110;5
Sudeste;SP;2020-03-21;459;15;63;6
Sudeste;SP;2020-03-22;631;22;172;7
Sudeste;SP;2020-03-23;745;30;114;8
Sudeste;SP;2020-03-24;810;40;65;10
Sudeste;SP;2020-03-25;862;48;52;8
Sudeste;SP;2020-03-26;1052;58;190;10
Sudeste;SP;2020-03-27;1223;68;171;10
Sudeste;SP;2020-03-28;1406;84;183;16
Sudeste;SP;2020-03-29;1451;98;45;14
Sudeste;SP;2020-03-30;1517;113;66;15
Sudeste;SP;2020-03-31;2339;136;822;23
Sudeste;SP;2020-04-01;2981;164;642;28
Sudeste;SP;2020-04-02;3506;188;525;24
Sudeste;SP;2020-04-03;4048;219;542;31
Sudeste;SP;2020-04-04;4466;260;418;41
Sudeste;SP;2020-04-05;4620;275;154;15
Sudeste;SP;2020-04-06;4866;304;246;29
Sudeste;SP;2020-04-07;5682;371;816;67
Sudeste;SP;2020-04-08;6708;428;1026;57
Sudeste;SP;2020-04-09;7480;496;772;68
Sudeste;SP;2020-04-10;8216;540;736;44
Sudeste;SP;2020-04-11;8419;560;203;20
Sudeste;SP;2020-04-12;8755;588;336;28
Sudeste;SP;2020-04-13;8895;608;140;20
Sudeste;SP;2020-04-14;9371;695;476;87
Sudeste;SP;2020-04-15;11043;778;1672;83
Sudeste;SP;2020-04-16;11568;853;525;75
Sudeste;SP;2020-04-17;12841;928;1273;75
Sudeste;SP;2020-04-18;13894;991;1053;63
Sudeste;SP;2020-04-19;14267;1015;373;24
Sudeste;SP;2020-04-20;14580;1037;313;22
Sudeste;SP;2020-04-21;15385;1093;805;56
Sudeste;SP;2020-04-22;15914;1134;529;41
Sudeste;SP;2020-04-23;16740;1345;826;211
Sudeste;SP;2020-04-24;17826;1512;1086;167
Sudeste;SP;2020-04-25;20004;1667;2178;155
Sudeste;SP;2020-04-26;20715;1700;711;33
Sudeste;SP;2020-04-27;21696;1825;981;125
Sudeste;SP;2020-04-28;24041;2049;2345;224
Sudeste;SP;2020-04-29;26158;2247;2117;198
Sudeste;SP;2020-04-30;28698;2375;2540;128
Sudeste;SP;2020-05-01;30374;2511;1676;136
Sudeste;SP;2020-05-02;31174;2586;800;75
Sudeste;SP;2020-05-03;31772;2627;598;41
Sudeste;SP;2020-05-04;32187;2654;415;27
Sudeste;SP;2020-05-05;34053;2851;1866;197
Sudeste;SP;2020-05-06;37853;3045;3800;194
Sudeste;SP;2020-05-07;39928;3206;2075;161
Sudeste;SP;2020-05-08;41830;3416;1902;210
Sudeste;SP;2020-05-09;44411;3608;2581;192
Sudeste;SP;2020-05-10;45444;3709;1033;101
Sudeste;SP;2020-05-11;46131;3743;687;34
Sudeste;SP;2020-05-12;47719;3949;1588;206
Sudeste;SP;2020-05-13;51097;4118;3378;169
Sudeste;SP;2020-05-14;54286;4315;3189;197
Sudeste;SP;2020-05-15;58378;4501;4092;186
Sudeste;SP;2020-05-16;61183;4688;2805;187
Sudeste;SP;2020-05-17;62345;4782;1162;94
Sudeste;SP;2020-05-18;63066;4823;721;41
Sudeste;SP;2020-05-19;65995;5147;2929;324
Sudeste;SP;2020-05-20;69859;5363;3864;216
Sudeste;SP;2020-05-21;73739;5558;3880;195
Sudeste;SP;2020-05-22;76871;5773;3132;215
Sudeste;SP;2020-05-23;80558;6045;3687;272
Sudeste;SP;2020-05-24;82161;6163;1603;118
Sudeste;SP;2020-05-25;83625;6220;1464;57
Sudeste;SP;2020-05-26;86017;6423;2392;203
Sudeste;SP;2020-05-27;89483;6712;3466;289
Sudeste;SP;2020-05-28;95865;6980;6382;268
Sudeste;SP;2020-05-29;101556;7275;5691;295
Sudeste;SP;2020-05-30;107142;7532;5586;257
Sudeste;SP;2020-05-31;109698;7615;2556;83
Sudeste;SP;2020-06-01;111296;7667;1598;52
